year,date,median,low,high
2019,2020-05-09,6,0,36
2019,2020-05-10,7,0,35
2019,2020-05-11,5,0,28
2019,2020-05-12,4,0,19
2019,2020-05-13,5,0,31
2019,2020-05-14,6,0,33
2019,2020-05-15,6,0,35
2019,2020-05-16,7,0,36
2019,2020-05-17,7,0,36
2019,2020-05-18,6,0,30
2019,2020-05-19,4,0,21
2019,2020-05-20,5,0,30
2019,2020-05-21,5,0,32
2019,2020-05-22,6,0,32
2019,2020-05-23,5,0,30
2019,2020-05-24,6,0,30
2019,2020-05-25,4,0,25
2019,2020-05-26,4,0,22
2019,2020-05-27,3,0,20
2019,2020-05-28,5,0,28
2019,2020-05-29,6,0,30
2019,2020-05-30,6,0,33
2019,2020-05-31,6,0,33
2019,2020-06-01,5,0,28
2019,2020-06-02,5,0,25
2019,2020-06-03,6,0,31
2019,2020-06-04,6,0,32
2019,2020-06-05,6,0,32
2019,2020-06-06,6,0,33
2019,2020-06-07,6,0,32
2019,2020-06-08,5,0,28
2019,2020-06-09,4,0,21
2019,2020-06-10,5,0,28
2019,2020-06-11,6,0,32
2019,2020-06-12,6,0,32
2019,2020-06-13,5,0,27
2019,2020-06-14,6,0,33
2019,2020-06-15,5,0,29
2019,2020-06-16,4,0,19
2019,2020-06-17,5,0,28
2019,2020-06-18,5,0,29
2019,2020-06-19,6,0,32
2019,2020-06-20,6,0,33
2019,2020-06-21,6,0,32
2019,2020-06-22,5,0,26
2019,2020-06-23,4,0,23
2019,2020-06-24,6,0,32
2019,2020-06-25,5,0,29
2019,2020-06-26,6,0,31
2019,2020-06-27,6,0,32
2019,2020-06-28,6,0,32
2019,2020-06-29,5,0,27
2019,2020-06-30,4,0,29
2019,2020-07-01,5,0,29
2019,2020-07-02,5,0,29
2019,2020-07-03,5,0,29
2019,2020-07-04,3,0,20
2019,2020-07-05,5,0,27
2019,2020-07-06,4,0,26
2019,2020-07-07,3,0,20
2019,2020-07-08,5,0,27
2019,2020-07-09,5,0,29
2019,2020-07-10,5,0,30
2019,2020-07-11,5,0,31
2019,2020-07-12,6,0,32
2019,2020-07-13,5,0,27
2019,2020-07-14,4,0,21
2019,2020-07-15,5,0,29
2019,2020-07-16,5,0,29
2019,2020-07-17,5,0,29
2019,2020-07-18,5,0,30
2019,2020-07-19,6,0,31
2019,2020-07-20,4,0,23
2019,2020-07-21,3,0,19
2019,2020-07-22,5,0,27
2019,2020-07-23,5,0,29
2019,2020-07-24,5,0,30
2019,2020-07-25,5,0,30
2019,2020-07-26,6,0,31
2019,2020-07-27,4,0,24
2019,2020-07-28,3,0,20
2019,2020-07-29,5,0,27
2019,2020-07-30,5,0,28
2019,2020-07-31,5,0,29
2019,2020-08-01,5,0,30
2019,2020-08-02,6,0,30
2019,2020-08-03,5,0,27
2019,2020-08-04,3,0,20
2019,2020-08-05,5,0,28
2019,2020-08-06,5,0,28
2019,2020-08-07,5,0,28
2019,2020-08-08,5,0,28
2019,2020-08-09,6,0,29
2019,2020-08-10,4,0,24
2019,2020-08-11,3,0,21
2019,2020-08-12,5,0,28
2019,2020-08-13,5,0,27
2019,2020-08-14,5,0,27
2019,2020-08-15,5,0,28
2019,2020-08-16,5,0,28
2019,2020-08-17,4,0,23
2019,2020-08-18,3,0,18
2019,2020-08-19,5,0,26
2019,2020-08-20,5,0,27
2019,2020-08-21,5,0,27
2019,2020-08-22,5,0,27
2019,2020-08-23,5,0,31
2019,2020-08-24,4,0,30
2019,2020-08-25,4,0,21
2019,2020-08-26,5,0,27
2019,2020-08-27,5,0,29
2019,2020-08-28,5,0,28
2019,2020-08-29,6,0,31
2019,2020-08-30,6,0,31
2019,2020-08-31,4,0,25
2019,2020-09-01,4,0,23
2019,2020-09-02,3,0,23
2019,2020-09-03,6,0,33
2019,2020-09-04,6,0,34
2019,2020-09-05,6,0,34
2019,2020-09-06,7,0,35
2019,2020-09-07,6,0,33
2019,2020-09-08,5,0,24
2019,2020-09-09,6,0,35
2019,2020-09-10,6,0,36
2019,2020-09-11,6,0,35
2019,2020-09-12,6,0,36
2019,2020-09-13,7,0,36
2019,2020-09-14,6,0,28
2019,2020-09-15,5,0,23
2019,2020-09-16,6,0,34
2019,2020-09-17,6,0,34
2019,2020-09-18,6,0,35
2019,2020-09-19,6,0,34
2019,2020-09-20,7,0,35
2019,2020-09-21,5,0,27
2019,2020-09-22,5,0,23
2019,2020-09-23,5,0,31
2019,2020-09-24,6,0,33
2019,2020-09-25,5,0,32
2019,2020-09-26,5,0,30
2019,2020-09-27,6,0,32
2019,2020-09-28,5,0,24
2019,2020-09-29,4,0,20
2019,2020-09-30,5,0,25
2019,2020-10-01,5,0,28
2019,2020-10-02,6,0,34
2019,2020-10-03,5,0,46
2019,2020-10-04,6,0,48
2019,2020-10-05,5,0,47
2019,2020-10-06,4,0,46
2019,2020-10-07,5,0,31
2019,2020-10-08,6,0,31
2019,2020-10-09,4,0,23
2019,2020-10-10,5,0,30
2019,2020-10-11,6,0,31
2019,2020-10-12,5,0,26
2019,2020-10-13,4,0,21
2019,2020-10-14,4,0,23
2019,2020-10-15,5,0,30
2019,2020-10-16,5,0,31
2019,2020-10-17,5,0,31
2019,2020-10-18,6,0,31
2019,2020-10-19,5,0,26
2019,2020-10-20,4,0,19
2019,2020-10-21,5,0,29
2019,2020-10-22,5,0,29
2019,2020-10-23,6,0,31
2019,2020-10-24,5,0,31
2019,2020-10-25,6,0,32
2019,2020-10-26,5,0,27
2019,2020-10-27,3,0,17
2019,2020-10-28,5,0,29
2019,2020-10-29,5,0,29
2019,2020-10-30,5,0,29
2019,2020-10-31,5,0,28
2019,2020-11-01,6,0,33
2019,2020-11-02,4,0,26
2019,2020-11-03,4,0,20
2019,2020-11-04,5,0,31
2019,2020-11-05,5,0,27
2019,2020-11-06,5,0,30
2019,2020-11-07,5,0,30
2019,2020-11-08,5,0,30
2019,2020-11-09,4,0,24
2019,2020-11-10,4,0,22
2019,2020-11-11,4,0,26
2019,2020-11-12,4,0,30
2019,2020-11-13,5,0,29
2019,2020-11-14,5,0,31
2019,2020-11-15,6,0,36
2019,2020-11-16,4,0,40
2019,2020-11-17,3,0,25
2019,2020-11-18,4,0,28
2019,2020-11-19,5,0,29
2019,2020-11-20,5,0,31
2019,2020-11-21,5,0,31
2019,2020-11-22,5,0,31
2019,2020-11-23,4,0,26
2019,2020-11-24,3,0,19
2019,2020-11-25,5,0,33
2019,2020-11-26,5,0,31
2019,2020-11-27,6,0,33
2019,2020-11-28,2,0,18
2019,2020-11-29,4,0,32
2019,2020-11-30,4,0,28
2019,2020-12-01,3,0,22
2019,2020-12-02,4,0,28
2019,2020-12-03,5,0,31
2019,2020-12-04,5,0,33
2019,2020-12-05,5,0,35
2019,2020-12-06,6,0,35
2019,2020-12-07,5,0,33
2019,2020-12-08,4,0,23
2019,2020-12-09,5,0,30
2019,2020-12-10,5,0,32
2019,2020-12-11,5,0,34
2019,2020-12-12,5,0,35
2019,2020-12-13,6,0,37
2019,2020-12-14,5,0,34
2019,2020-12-15,4,0,28
2019,2020-12-16,5,0,32
2019,2020-12-17,5,0,30
2019,2020-12-18,5,0,33
2019,2020-12-19,5,0,32
2019,2020-12-20,6,0,34
2019,2020-12-21,5,0,35
2019,2020-12-22,4,0,31
2019,2020-12-23,5,0,35
2019,2020-12-24,4,0,23
2019,2020-12-25,2,0,15
2019,2020-12-26,4,0,31
2019,2020-12-27,5,0,36
2019,2020-12-28,4,0,34
2019,2020-12-29,4,0,27
2019,2020-12-30,5,0,29
2019,2020-12-31,5,0,30
2020,2020-01-01,3,0,21
2020,2020-01-02,5,0,33
2020,2020-01-03,6,0,34
2020,2020-01-04,5,0,29
2020,2020-01-05,3,0,20
2020,2020-01-06,5,0,30
2020,2020-01-07,5,0,33
2020,2020-01-08,6,0,32
2020,2020-01-09,6,0,34
2020,2020-01-10,6,0,34
2020,2020-01-11,5,0,28
2020,2020-01-12,4,0,27
2020,2020-01-13,5,0,38
2020,2020-01-14,5,0,31
2020,2020-01-15,5,0,31
2020,2020-01-16,5,0,31
2020,2020-01-17,5,0,28
2020,2020-01-18,4,0,26
2020,2020-01-19,4,0,22
2020,2020-01-20,4,0,21
2020,2020-01-21,5,0,28
2020,2020-01-22,5,0,30
2020,2020-01-23,5,0,28
2020,2020-01-24,6,0,31
2020,2020-01-25,4,0,25
2020,2020-01-26,3,0,21
2020,2020-01-27,5,0,30
2020,2020-01-28,5,0,29
2020,2020-01-29,5,0,32
2020,2020-01-30,5,0,31
2020,2020-01-31,6,0,35
2020,2020-02-01,5,0,25
2020,2020-02-02,4,0,19
2020,2020-02-03,5,0,32
2020,2020-02-04,5,0,30
2020,2020-02-05,5,0,29
2020,2020-02-06,5,0,29
2020,2020-02-07,6,0,30
2020,2020-02-08,5,0,26
2020,2020-02-09,4,0,19
2020,2020-02-10,5,0,30
2020,2020-02-11,5,0,30
2020,2020-02-12,5,0,29
2020,2020-02-13,5,0,30
2020,2020-02-14,6,0,31
2020,2020-02-15,4,0,23
2020,2020-02-16,4,0,22
2020,2020-02-17,4,0,22
2020,2020-02-18,4,0,26
2020,2020-02-19,5,0,28
2020,2020-02-20,5,0,31
2020,2020-02-21,5,0,27
2020,2020-02-22,5,0,25
2020,2020-02-23,4,0,21
2020,2020-02-24,5,0,31
2020,2020-02-25,4,0,22
2020,2020-02-26,5,0,32
2020,2020-02-27,5,0,30
2020,2020-02-28,6,0,31
2020,2020-02-29,4,0,23
2020,2020-03-01,3,0,18
2020,2020-03-02,4,0,28
2020,2020-03-03,4,0,27
2020,2020-03-04,5,0,27
2020,2020-03-05,5,0,28
2020,2020-03-06,5,0,27
2020,2020-03-07,4,0,22
2020,2020-03-08,3,0,17
2020,2020-03-09,5,0,27
2020,2020-03-10,4,0,24
2020,2020-03-11,4,0,23
2020,2020-03-12,4,0,21
2020,2020-03-13,4,0,20
2020,2020-03-14,3,0,14
2020,2020-03-15,2,0,14
2020,2020-03-16,2,0,12
2020,2020-03-17,2,0,11
2020,2020-03-18,2,0,11
2020,2020-03-19,2,0,10
2020,2020-03-20,1,0,7
2020,2020-03-21,1,0,5
2020,2020-03-22,1,0,6
2020,2020-03-23,1,0,6
2020,2020-03-24,1,0,7
2020,2020-03-25,1,0,7
2020,2020-03-26,1,0,6
2020,2020-03-27,1,0,6
2020,2020-03-28,0,0,4
2020,2020-03-29,0,0,4
2020,2020-03-30,1,0,6
2020,2020-03-31,1,0,6
2020,2020-04-01,1,0,6
2020,2020-04-02,1,0,6
2020,2020-04-03,1,0,6
2020,2020-04-04,0,0,4
2020,2020-04-05,0,0,4
2020,2020-04-06,1,0,6
2020,2020-04-07,1,0,5
2020,2020-04-08,1,0,5
2020,2020-04-09,1,0,5
2020,2020-04-10,1,0,6
2020,2020-04-11,0,0,5
2020,2020-04-12,0,0,3
2020,2020-04-13,0,0,4
2020,2020-04-14,1,0,5
2020,2020-04-15,1,0,5
2020,2020-04-16,1,0,5
2020,2020-04-17,1,0,6
2020,2020-04-18,0,0,4
2020,2020-04-19,0,0,4
2020,2020-04-20,1,0,5
2020,2020-04-21,1,0,5
2020,2020-04-22,1,0,6
2020,2020-04-23,1,0,6
2020,2020-04-24,1,0,5
2020,2020-04-25,1,0,6
2020,2020-04-26,0,0,4
2020,2020-04-27,1,0,6
2020,2020-04-28,1,0,6
2020,2020-04-29,1,0,6
2020,2020-04-30,1,0,5
2020,2020-05-01,1,0,6
2020,2020-05-02,1,0,6
2020,2020-05-03,1,0,5
2020,2020-05-04,1,0,6
2020,2020-05-05,1,0,6
2020,2020-05-06,1,0,6
2020,2020-05-07,1,0,6
2020,2020-05-08,1,0,6
2020,2020-05-09,1,0,6
2020,2020-05-10,1,0,5
2020,2020-05-11,1,0,6
2020,2020-05-12,1,0,7
2020,2020-05-13,1,0,6
2020,2020-05-14,1,0,6
2020,2020-05-15,1,0,7
2020,2020-05-16,1,0,6
2020,2020-05-17,1,0,6
2020,2020-05-18,1,0,6
2020,2020-05-19,1,0,7
2020,2020-05-20,1,0,7
2020,2020-05-21,1,0,7
2020,2020-05-22,1,0,7
2020,2020-05-23,1,0,6
2020,2020-05-24,1,0,6
2020,2020-05-25,1,0,6
2020,2020-05-26,1,0,6
2020,2020-05-27,1,0,7
2020,2020-05-28,1,0,7
2020,2020-05-29,1,0,7
2020,2020-05-30,1,0,7
2020,2020-05-31,1,0,6
2020,2020-06-01,1,0,7
2020,2020-06-02,1,0,7
2020,2020-06-03,1,0,7
2020,2020-06-04,1,0,7
2020,2020-06-05,1,0,7
2020,2020-06-06,1,0,7
